	E1_CONCEPT_ID	E2_CONCEPT_ID	E1_NAME	E1_DOMAIN	E2_NAME	E2_DOMAIN	AVG_NUMBER_OF_DAYS_BETWEEN_EVENTS	E1_E2_EVENTPERIOD_COUNT	EVENT_PAIR_PVALUE	EVENT_PAIR_PVALUE_SIGNIFICANT	EVENT_PAIR_EFFECT	EVENTPERIOD_COUNT_E1_OCCURS_FIRST	AVG_AGE_OF_EVENTPERIOD_E1_OCCURS_FIRST	EVENTPERIOD_COUNT_E2_OCCURS_FIRST	EVENTPERIOD_COUNT_E1_E2_OCCUR_ON_SAME_DAY	DIRECTIONAL_EVENT_PAIR_PVALUE	DIRECTIONAL_EVENT_PAIR_PVALUE_SIGNIFICANT	E1_COUNT	E2_COUNT	E2_COUNT_IN_CONTROL_GROUP	EVENTPERIOD_COUNT_HAVING_E2_RIGHT_AFTER_E1
52	257011	1503297	Acute upper respiratory infection	Condition	metformin	Drug	887	1134	2.41822619122671e-08	*	1.14098245736518	1134	60.9506172839506	976	6	0.000319522158246591	*	2860	7887	994	NA
53	319034	1545958	Hypertensive heart disease without congestive heart failure	Condition	atorvastatin	Drug	992	1556	1.56133306115615e-08	*	1.13718720999161	1556	68.5160668380463	324	21	4.34302723198798e-190	*	7272	2440	1368	NA
54	443732	1307046	Disorder due to type 2 diabetes mellitus	Condition	metoprolol	Drug	647	2047	5.14143923931956e-12	*	1.13679534912891	2047	70.4640937957987	957	23	1.34207005146866e-89	*	6245	4500	1801	NA
55	320128	4041554	Essential hypertension	Condition	Serum cholesterol raised	Condition	712	2035	4.30163142433941e-12	*	1.13564267369942	2035	63.9498771498772	900	47	1.16706716148247e-98	*	5804	5251	1792	NA
56	443732	1510813	Disorder due to type 2 diabetes mellitus	Condition	rosuvastatin	Drug	721	1123	4.03451814853678e-06	*	1.13243964339409	1123	66.1015138023152	483	42	1.45797501336507e-57	*	6245	2506	992	NA
57	319034	1307046	Hypertensive heart disease without congestive heart failure	Condition	metoprolol	Drug	918	2833	1.49569588241516e-15	*	1.12843243351908	2833	70.3925167666784	704	76	2.80457609379729e-293	*	7272	4500	2511	NA
58	1503297	1124300	metformin	Drug	diclofenac	Drug	570	2304	2.54054783851268e-11	*	1.12625040126524	2304	66.9583333333333	570	95	3.83137936683084e-237	*	7887	3868	2046	NA
59	201826	1317640	Type 2 diabetes mellitus	Condition	telmisartan	Drug	666	1167	7.03304449566157e-06	*	1.12474959079965	1167	66.5047129391602	194	35	6.3309662484966e-165	*	5983	2378	1038	NA
60	320128	1503297	Essential hypertension	Condition	metformin	Drug	831	3431	9.63062792484125e-24	*	1.12333463464023	3431	64.4310696589915	948	52	8.89318162514244e-323	*	5804	7887	3054	NA
61	201826	1332418	Type 2 diabetes mellitus	Condition	amlodipine	Drug	793	2085	1.52437267805051e-10	*	1.12253793042759	2085	68.4374100719425	293	43	0	*	5983	4173	1857	NA
62	319034	437530	Hypertensive heart disease without congestive heart failure	Condition	Disorder of lipid metabolism	Condition	706	1095	3.07684609952653e-05	*	1.12156966527661	1095	66.9917808219178	778	152	9.87006057363922e-13	*	7272	2713	976	NA
63	442604	316139	Hypertensive heart disease	Condition	Heart failure	Condition	816	1097	9.7393188862533e-06	*	1.12055234031477	1097	73.1294439380128	593	176	5.26732901626061e-32	*	4028	3502	979	NA
64	260139	1503297	Acute bronchitis	Condition	metformin	Drug	818	1389	8.82750735144917e-08	*	1.12025209590428	1389	64.133909287257	1196	14	8.23630006816138e-05	*	3524	7887	1240	NA
65	201826	1307046	Type 2 diabetes mellitus	Condition	metoprolol	Drug	739	2287	8.27711130547625e-11	*	1.11528704920624	2287	70.3017052907739	310	56	0	*	5983	4500	2051	NA
66	4079750	1503297	Osteoarthritis of knee	Condition	metformin	Drug	798	1330	2.94624618604376e-07	*	1.11427423692657	1330	68.6172932330827	1046	11	2.94980552168979e-09	*	3121	7887	1194	NA
67	437530	1503297	Disorder of lipid metabolism	Condition	metformin	Drug	745	1436	1.09564556764755e-08	*	1.11236887997783	1436	66.6344011142061	597	37	4.98286671808127e-78	*	2713	7887	1291	NA
68	1503297	1332418	metformin	Drug	amlodipine	Drug	673	2225	4.22179865941044e-09	*	1.11229388721049	2225	67.4921348314607	722	362	3.81287699361224e-156	*	7887	4173	2000	NA
69	319034	1510813	Hypertensive heart disease without congestive heart failure	Condition	rosuvastatin	Drug	964	1535	4.23037284993617e-06	*	1.10931894946773	1535	67.2117263843648	385	24	4.37952673738774e-160	*	7272	2506	1384	NA
70	201826	1124300	Type 2 diabetes mellitus	Condition	diclofenac	Drug	780	2042	1.21665341426537e-08	*	1.1091849363718	2042	68.1077375122429	267	24	0	*	5983	3868	1841	NA
71	319034	438720	Hypertensive heart disease without congestive heart failure	Condition	Mixed hyperlipidemia	Condition	904	1359	2.84893345865053e-05	*	1.10632126801955	1359	67.6983075791023	501	290	1.13129514078446e-78	*	7272	2698	1228	NA
